"V1","V2","V3","V4","V5","V6","V7"
"1",1792,"https://chroniclingamerica.loc.gov/lccn/sn83025887/1792-03-01/ed-1/seq-4/",11422214,"batch_dlc_germanrex_ver01","sn83025887","1792-03-01_ed-1_seq-4_ocr.xml","equality of rights and tend firongly to an aristocracy ? There are two kinds of inequality, the one personal—that of talent and virtue, the source oi whatever is excellent and admirable in fociety--- The other that of fortune, which mult exist,"
"2",1792,"https://chroniclingamerica.loc.gov/lccn/sn83025887/1792-08-29/ed-1/seq-4/",11425787,"batch_dlc_germanrex_ver01","sn83025887","1792-08-29_ed-1_seq-4_ocr.xml","tend Itr >ngly to an ariAocrac)' ? 1 heie ate tv\o kinds of inequality, the one per sonal, that of talent and vu u<*, the of whatever is excellent and admirable in 1 ciety , the other that of fortune, which"
"3",1792,"https://chroniclingamerica.loc.gov/lccn/sn83025887/1792-10-17/ed-1/seq-1/",11426542,"batch_dlc_germanrex_ver01","sn83025887","1792-10-17_ed-1_seq-1_ocr.xml","will fay, does not th's pre judice again ft the clergy, reft upon some foundation ? It does. But the talent of comparing everts with their causes, with out which, an attempt at legiilation is prefuinption, might have easily overthrown it."
"4",1792,"https://chroniclingamerica.loc.gov/lccn/sn83025887/1792-10-27/ed-1/seq-2/",11426859,"batch_dlc_germanrex_ver01","sn83025887","1792-10-27_ed-1_seq-2_ocr.xml","phers. The preliminary discourse is a eompofition of a very iup-erior kind : eve iy page of it discovers the talent of the philosopher, and the taste of the man ol letters. In my opinion, it is one ot the most"
"5",1792,"https://chroniclingamerica.loc.gov/lccn/sn83025887/1792-12-15/ed-1/seq-1/",11427990,"batch_dlc_germanrex_ver01","sn83025887","1792-12-15_ed-1_seq-1_ocr.xml","to adl as soon as you originate the business. That you may live long, and enjoy all the blessings which talent 3, learning, and : virtue ought to bellow on yoti, is my , sincere wish. I have the honor to"
"6",1792,"https://chroniclingamerica.loc.gov/lccn/sn83025887/1792-12-22/ed-1/seq-4/",11428749,"batch_dlc_germanrex_ver01","sn83025887","1792-12-22_ed-1_seq-4_ocr.xml","effecting these changes, as impor tant as indispensably necessary ? Talent a lone without courage is not necessary— Courage without talent will attempt re volutions in vain—Energy of patriotism is not, then, the only requisite necessary to engage your votes—the qualifications"
"7",1793,"https://chroniclingamerica.loc.gov/lccn/sn83025887/1793-01-19/ed-1/seq-3/",11429609,"batch_dlc_germanrex_ver01","sn83025887","1793-01-19_ed-1_seq-3_ocr.xml","vivacity of imagina tion and flrength of es.pr ■ '\"\"on. in force as well as fophi.fry ot argument, in the talent of flattering the native pride and inflaming the pa.Tions of the mul | titude, and of expofmg the (lavish doc"
"8",1793,"https://chroniclingamerica.loc.gov/lccn/sn83025887/1793-02-20/ed-1/seq-2/",11430095,"batch_dlc_germanrex_ver01","sn83025887","1793-02-20_ed-1_seq-2_ocr.xml","very thing they were looking for. Whenever power is given to him, the Se cretary is not deficient in the talent of ex panding the sense, and giving a scope to thi intention; and if accounts of public fund a;-e demanded,"
"9",1793,"https://chroniclingamerica.loc.gov/lccn/sn83025887/1793-03-30/ed-1/seq-1/",11430752,"batch_dlc_germanrex_ver01","sn83025887","1793-03-30_ed-1_seq-1_ocr.xml","for uriiver faj information as inen.of science, superi or abilities, politeness of manners, une qualled eloquence, perspicuity, and hap py talent of communicating ideas on tilt most abstruse fubjefts, as lecturers.\"\" Members of Congress mutt be \"\" dittin juilhed patriots, conspicuous"
"10",1794,"https://chroniclingamerica.loc.gov/lccn/sn84026271/1794-08-08/ed-1/seq-1/",26806727,"batch_dlc_korat_ver01","sn84026271","1794-08-08_ed-1_seq-1_ocr.xml","By command of the Pie talent of th« U nited States, '"
