V1,V2,V3,V4,V5,V6,V7,V8
LCCN,Name,Publisher,Place.of.Publication,Place,Start.Year,End.Year,URL
"sn84021930","Douglas Island news.","A.G. McBride","Douglas City, Alaska","Alaska--Douglas","1898","1921","http://chroniclingamerica.loc.gov/lccn/sn84021930.json"
"sn84021930","Douglas Island news.","A.G. McBride","Douglas City, Alaska","Alaska--Douglas","1898","1921","http://chroniclingamerica.loc.gov/lccn/sn84021930.json"
"sn94051341","The argus.","A.F. Banta","Holbrook, Ariz.","Arizona--Navajo--Holbrook","1895","1900","http://chroniclingamerica.loc.gov/lccn/sn94051341.json"
"sn94051341","The argus.","A.F. Banta","Holbrook, Ariz.","Arizona--Navajo--Holbrook","1895","1900","http://chroniclingamerica.loc.gov/lccn/sn94051341.json"
"sn84024828","Mohave County miner.","A.H. Smith & Co.","Mineral Park, A.T. [Ariz.]","Arizona--Mohave--Mineral Park","1882","1918","http://chroniclingamerica.loc.gov/lccn/sn84024828.json"
"sn84024828","Mohave County miner.","A.H. Smith & Co.","Mineral Park, A.T. [Ariz.]","Arizona--Mohave--Mineral Park","1882","1918","http://chroniclingamerica.loc.gov/lccn/sn84024828.json"
"sn82016242","Arizona miner.","T.A. Hand","Fort Whipple, Ariz.","Arizona--Yavapai--Fort Whipple|Arizona--Yavapai--Prescott","1864","1868","http://chroniclingamerica.loc.gov/lccn/sn82016242.json"
"sn82016242","Arizona miner.","T.A. Hand","Fort Whipple, Ariz.","Arizona--Yavapai--Fort Whipple|Arizona--Yavapai--Prescott","1864","1868","http://chroniclingamerica.loc.gov/lccn/sn82016242.json"
"sn82016246","The Arizona champion.","A.E. Fay","Peach Springs, Mohave County, A.T. [Ariz.]","Arizona--Coconino--Flagstaff|Arizona--Mohave--Peach Springs","1883","1891","http://chroniclingamerica.loc.gov/lccn/sn82016246.json"
